,Unnamed: 0,food_id,food_name,calcium,calories,carbohydrate,fat,potassium,protein,serving_description,sodium,sugar,vitamin_a,vitamin_c
5521,31858,7263,Corn Oil,0,884,0.0,100.0,0,0.0,100 g,0,0.0,0,0
5522,31863,7264,Corn and Canola Oil,0,884,0.0,100.0,0,0.0,100 g,0,0.0,0,0
5523,31868,7265,"Canola, Soybean and Sunflower Oil",0,884,0.0,100.0,0,0.0,100 g,0,0.0,0,0
5524,31873,7266,Soybean Oil,0,884,0.0,100.0,0,0.0,100 g,0,0.0,0,0
5525,31878,7267,Fruit Dressing (made with Fruit Juice and Cream),3,208,20.6,12.91,112,3.21,100 g,111,16.96,11,24
5526,31883,7268,Mayonnaise (made with Yogurt),10,109,8.28,6.84,140,3.86,100 g,450,4.15,5,3
5527,31889,7269,Creamy Dressing (made with Sour Cream and/or Buttermilk and Oil),1,487,4.77,52.62,25,0.34,100 g,1181,4.18,1,0
5528,31894,7270,Reduced Calorie Blue or Roquefort Cheese Dressing,7,86,13.2,2.7,51,2.1,100 g,1610,3.6,5,0
5529,31897,7272,Chocolate Flavored Caramel Roll,0,172,43.32,0.04,30,1.11,100 g,40,41.57,0,0
5530,31905,7273,Mexican Chocolate (Tablet),4,387,87.73,3.31,116,1.59,100 g,44,56.4,0,0
5531,31908,7274,Chocolate Covered Coconut Candy,3,426,77.41,15.59,397,3.64,100 g,3,69.4,0,0
5532,31925,7275,Puerto Rican Style Coconut Candy,2,486,58.59,26.6,321,4.6,100 g,145,46.19,0,1
5533,31929,7275,Puerto Rican Style Coconut Candy,1,408,74.66,13.64,152,1.31,100 g,9,73.35,0,3
5534,31945,7277,Candied Fruit Peel,0,374,93.42,0.01,4,0.0,100 g,16,88.9,0,0
5535,31948,7277,Candied Fruit Peel,2,321,82.74,0.07,57,0.35,100 g,98,80.63,0,0
5536,31955,7279,Soft Fruit Confections,8,379,58.08,18.1,541,4.17,100 g,18,45.05,0,3
5537,31958,7279,Soft Fruit Confections,2,390,73.81,9.52,82,2.31,100 g,131,45.95,0,0
5538,31964,7281,Tamarind Candy,14,475,69.33,21.04,289,3.68,100 g,176,55.31,1,77
5539,31970,7281,Tamarind Candy,7,254,66.29,0.68,586,2.92,100 g,191,60.88,3,5
5540,31976,7282,Fruit Snack Candy (with Added Vitamin C),2,359,82.77,2.68,164,1.0,100 g,403,57.54,1,193
5541,31981,7283,Chocolate Fudge,5,411,76.48,10.41,131,2.39,100 g,47,73.76,3,0
5542,31986,7284,Vanilla Fudge,3,384,82.28,5.44,46,1.05,100 g,51,79.77,3,0
5543,31991,7285,Divinity Fudge,1,399,83.21,7.72,86,4.24,100 g,63,69.26,0,0
5544,31997,7287,100 Grand Bar,5,464,61.8,25.0,356,7.1,100 g,214,46.4,0,0
5545,32000,7288,Plain Halvah,7,447,71.5,18.8,214,2.81,100 g,200,54.1,2,0
5546,32003,7289,Chocolate Covered Halvah,2,522,57.56,31.87,145,7.98,100 g,18,53.14,1,0
5547,32006,7298,Chocolate Covered Nuts (Not Almonds or Peanuts),7,526,58.08,31.25,209,7.88,100 g,35,52.68,1,0
5548,32011,7299,M&M's Peanut Butter Chocolate Candies,16,582,38.82,44.95,507,11.18,100 g,42,27.48,2,2
5549,32017,7300,Peanut Brittle,11,513,61.0,25.5,390,9.8,100 g,126,48.92,1,2
5550,32024,7300,Peanut Brittle,3,486,71.24,18.98,168,7.57,100 g,445,51.33,3,0
5551,32028,7302,Chocolate Covered Peanut Butter,11,526,51.12,32.45,396,13.07,100 g,132,45.1,1,0
5552,32042,7303,Reese's Peanut Butter Cup,8,509,57.63,28.02,358,11.46,100 g,188,51.22,1,0
5553,32052,7304,Reese's Pieces,8,515,55.36,30.53,343,10.24,100 g,314,47.17,1,1
5554,32057,7305,Pralines,7,497,59.86,24.77,359,12.46,100 g,194,53.25,0,0
5555,32061,7305,Pralines,11,402,76.7,11.37,354,2.06,100 g,323,74.71,3,0
5556,32066,7306,Carob Covered Raisins,16,400,69.57,13.44,700,5.2,100 g,51,56.17,0,3
5557,32071,7307,Yogurt Covered Raisins,12,393,72.78,11.61,556,4.25,100 g,43,60.52,0,3
5558,32075,7308,Sesame Crunch (Sahadi),66,517,50.3,33.3,322,11.6,100 g,167,31.17,0,0
5559,32135,7310,Butterscotch Hard Candy,0,396,98.9,0.0,5,0.0,100 g,44,58.97,0,0
5560,32138,7310,Butterscotch Hard Candy,0,391,90.4,3.3,3,0.03,100 g,391,80.46,2,0
5561,32147,7312,M&M's Plain Chocolate Candies,0,405,90.64,4.37,9,0.19,100 g,16,76.02,0,112
5563,32160,7314,Chocolate Covered Toffee,11,492,71.21,21.13,203,4.33,100 g,61,63.66,2,1
5564,32175,7315,Liquid Filled Wax Candy,15,428,73.1,14.02,259,5.48,100 g,203,62.44,2,1
5565,32180,7316,Dietetic or Low Calorie Gumdrops,0,126,32.53,0.0,1,0.0,100 g,1,32.5,0,0
5566,32184,7316,Dietetic or Low Calorie Gumdrops,0,162,88.0,0.2,0,0.0,100 g,7,70.0,0,0
5567,32195,7318,Dietetic or Low Calorie Mints,0,375,93.4,0.0,0,0.0,100 g,0,93.0,0,0
5568,32198,7318,Dietetic or Low Calorie Mints,0,375,93.4,0.0,0,0.0,100 g,0,93.0,0,0
5569,32202,7319,Chewing Gum,1,258,80.44,0.35,1,0.0,100 g,4,33.04,0,0
5570,32213,7320,Coffee (made from Ground),0,1,0.0,0.02,49,0.12,100 g,2,0.0,0,0
5571,32218,7321,Cooked-Type Boiled Dressing,8,157,14.9,9.5,121,4.2,100 g,734,9.07,3,1
5572,32223,7322,Sweet and Sour Dressing,0,15,3.7,0.0,33,0.1,100 g,208,3.7,0,14
5573,32229,7323,Low Calorie French Dressing,1,232,29.28,13.46,107,0.58,100 g,804,15.95,11,0
5574,32234,7324,"Milk, Vinegar and Artificial Sweetener Dressing",14,81,6.27,3.84,189,3.48,100 g,56,5.94,2,2
